Rule;SpecDetect4AI;deepseek-r1;gpt-4.1-mini;llama3_70_8192;mlpylint;CodeSmile
R1;0.93;0.46;0.61;0.32;0.66;NA
R2;1.0;0.68;0.59;0.37;0.33;NA
R3;0.87;0.32;0.37;0.12;0.46;0.88
R4;1.0;0.0;0.0;0.0;0.44;NA
R5;0.91;0.65;0.56;0.22;0.73;NA
R6;1.0;0.25;0.2;0.0;0.0;NA
R7;0.47;0.67;0.49;0.0;0.12;NA
R8;0.84;0.22;0.32;0.53;0.78;0.53
R9;1.0;0.78;0.78;0.66;0.80;0.93
R10;0.81;0.49;0.51;0.33;0.54;0.81
R11;0.91;0.37;0.45;0.64;0.09;NA
R12;1.0;0.87;0.54;0.91;0.68;0.83
R13;0.98;0.65;0.34;0.83;0.73;NA
R14;0.90;0.71;0.57;0.07;0.5;0.83
R15;1.0;0.65;0.92;0.46;0.89;0.79
R16;1.0;0.89;0.65;0.67;0.84;0.89
R17;0.78;0.73;0.39;0.58;0.34;0.41
R18;1.0;0.63;0.78;0.65;1.0;0.96
R19;0.34;0.0;0.0;0.0;NA;NA
R20;0.83;0.21;0.0;0.17;0.07;0.76
R21;0.96;0.5;0.47;0.4;0.44;0.84
R22;1.0;0.62;0.49;0.0;NA;NA
