Rule,Tool,Precision,Recall
R5,SpecDetect4AI,1.0,0.8333333333333334
R11,SpecDetect4AI,0.8313253012048193,1.0
R21,SpecDetect4AI,1.0,0.9230769230769231
R22,SpecDetect4AI,1.0,1.0
R2,SpecDetect4AI,1.0,0.8333333333333334
R14,SpecDetect4AI,1.0,0.6666666666666666
R6,SpecDetect4AI,1.0,1.0
R4,SpecDetect4AI,1.0,1.0
R19,SpecDetect4AI,0.0,0.0
R7,SpecDetect4AI,0.0,0.0
R21,mlpylint,1.0,0.28205128205128205
R14,mlpylint,1.0,0.3333333333333333
R2,mlpylint,0.9166666666666666,0.2037037037037037
R11,mlpylint,0.0525,0.243478260869565216
R5,mlpylint,0.6333333333333334,0.873337774
R22,mlpylint,0.0,0.0
R6,mlpylint,0.0,0.0
R7,mlpylint,0.0,0.0
R4,mlpylint,0.8929629629629629,0.2962962962962963
R19,mlpylint,0.0,0.0
R2,llama3-8b-8192,0.014828544949026877,0.2962962962962963
R22,llama3-8b-8192,0.0038910505836575876,0.1111111111111111
R11,llama3-8b-8192,0.0625,0.043478260869565216
R5,llama3-8b-8192,0.023809523809523808,0.26666666666666666
R6,llama3-8b-8192,0.006289308176100629,0.2
R14,llama3-8b-8192,0.014705882352941176,0.16666666666666666
R1,llama3-8b-8192,0.0,0.0
R4,llama3-8b-8192,0.0,0.0
R7,llama3-8b-8192,0.0,0.0
R3,llama3-8b-8192,0.0,0.0
R8,llama3-8b-8192,0.0,0.0
R9,llama3-8b-8192,0.0,0.0
R10,llama3-8b-8192,0.0,0.0
R21,llama3-8b-8192,0.0,0.0
R12,llama3-8b-8192,0.0,0.0
R15,llama3-8b-8192,0.0,0.0
R19,llama3-8b-8192,0.0,0.0
R18,llama3-8b-8192,0.0,0.0
R13,llama3-8b-8192,0.0,0.0
R16,llama3-8b-8192,0.0,0.0
R17,llama3-8b-8192,0.0,0.0
R20,llama3-8b-8192,0.0,0.0
R21,llama3_70_8192,0.34615384615384615,0.46153846153846156
R11,llama3_70_8192,0.7358490566037735,0.5652173913043478
R2,llama3_70_8192,0.2553191489361702,0.6666666666666666
R14,llama3_70_8192,0.04081632653061224,0.3333333333333333
R5,llama3_70_8192,0.13761467889908258,0.5
R13,llama3_70_8192,0.0,0.0
R19,llama3_70_8192,0.0,0.0
R1,llama3_70_8192,0.0,0.0
R10,llama3_70_8192,0.0,0.0
R18,llama3_70_8192,0.0,0.0
R17,llama3_70_8192,0.0,0.0
R20,llama3_70_8192,0.0,0.0
R3,llama3_70_8192,0.0,0.0
R8,llama3_70_8192,0.0,0.0
R15,llama3_70_8192,0.0,0.0
R16,llama3_70_8192,0.0,0.0
R9,llama3_70_8192,0.0,0.0
R6,llama3_70_8192,0.0,0.0
R7,llama3_70_8192,0.0,0.0
R4,llama3_70_8192,0.0,0.0
R12,llama3_70_8192,0.0,0.0
R22,llama3_70_8192,0.0,0.0
R11,deepseek,0.8888888888888888,0.2318840579710145
R2,deepseek,0.8823529411764706,0.5555555555555556
R21,deepseek,0.8235294117647058,0.358974358974359
R5,deepseek,0.7727272727272727,0.5666666666666667
R14,deepseek,0.625,0.8333333333333334
R6,deepseek,0.3333333333333333,0.2
R19,deepseek,0.0,0.0
R22,deepseek,1.0,0.4444444444444444
R7,deepseek,0.5,1.0
R13,deepseek,0.0,0.0
R20,deepseek,0.0,0.0
R17,deepseek,0.0,0.0
R8,deepseek,0.0,0.0
R3,deepseek,0.0,0.0
R4,deepseek,0.0,0.0
R12,deepseek,0.0,0.0
R16,deepseek,0.0,0.0
R10,deepseek,0.0,0.0
R18,deepseek,0.0,0.0
