Rule_ID;Old_Type;New_Type;File;Line;Description;Code_Context
R10;False_Negative;False_Negative;./files/EvalID_49/codebook.py;76;Missed detection (in ground truth but not detected);"68:     km_models: list of KMeans fitted models
69:   """"""
70:   assert len(activation_indexes) > 0
71:   assert 0.0 < sample_size <= 1.0
72:   km_models = [KMeans(2**bits)] * len(activation_indexes)
73:   cb_tables = [[]] * len(activation_indexes)
74:   models = []
75:   x = x_in = model.layers[0].output
76:   for i in range(1, len(model.layers)):
77:     layer = model.layers[i]
78:     x = layer(x)
79:     if i in activation_indexes or i == len(model.layers) - 1:
80:       print(""\nCreating submodel..."")
81:       models.append(Model([x_in], [x]))
82:       x = x_in = Input(layer.output[0].shape,
83:                        batch_size=layer.output.shape[0],
84:                        dtype=layer.output.dtype)"
R10;False_Negative;True_Negative;./files/EvalID_49/codebook.py;139;Missed detection (in ground truth but not detected);"131:     codebook_table: array of codebook values
132:   """"""
133:   assert bits <= 8
134:   n = 2**bits
135:   index_table = []
136:   codebook_table = np.zeros((weights.shape[axis], n))
137:   km_models = [None] * weights.shape[axis]
138: 
139:   for i, w in tqdm(enumerate(np.split(weights, weights.shape[axis], axis))):
140:     original_shape = w.shape
141:     w = w.ravel()
142:     km = KMeans(n)
143:     km.fit(w.reshape(-1, 1))
144:     if quantizer:
145:       km.cluster_centers_ = quantizer(km.cluster_centers_).numpy()
146:     km.cluster_centers_.sort(axis=0)
147:"
R10;False_Negative;False_Negative;./files/EvalID_49/codebook.py;187;Missed detection (in ground truth but not detected);"179:   codebook_table = np.zeros((n, n))
180: 
181:   km1 = KMeans(n)
182:   km1.fit(embeddings)
183:   tier1 = km1.predict(embeddings)
184: 
185:   km_models = [0] * n
186:   block_sizes = [0] * n
187:   for block_label in tqdm(range(n)):
188:     mask = block_label == tier1
189:     indices = np.arange(embeddings.shape[0])[mask]
190:     block = embeddings[mask]
191:     km2 = KMeans(n)
192:     km2.fit(block.flatten().reshape(-1, 1))
193:     if quantizer:
194:       km2.cluster_centers_ = quantizer(km2.cluster_centers_).numpy()
195:     km2.cluster_centers_.sort(axis=0)"
R10;False_Negative;False_Negative;./files/EvalID_46/polblogs_experiment.py;296;Missed detection (in ground truth but not detected);"288:                   training_ratios=numpy.arange(0.01, 0.10, 0.01),
289:                   max_iter=1000,
290:                   scale_columns=True):
291:   n = weights.shape[0]
292:   if scale_columns:
293:     weights = scale(weights, with_mean=False, axis=0)
294:   macro_scores = dict(zip(training_ratios, [0.0] * len(training_ratios)))
295:   micro_scores = dict(zip(training_ratios, [0.0] * len(training_ratios)))
296:   for r in training_ratios:
297:     macros = 0.0
298:     micros = 0.0
299:     for _ in range(num_fits):
300:       training_sample = numpy.random.choice(list(range(n)), int(n * r))
301:       multi_linsvm = OneVsRestClassifier(LinearSVC(max_iter=max_iter))
302:       multi_linsvm.fit(weights[training_sample], labels[training_sample])
303:       macros += f1_score(
304:           labels, multi_linsvm.predict(weights), average='macro') / num_fits"
R10;False_Negative;True_Negative;./files/EvalID_46/polblogs_experiment.py;299;Missed detection (in ground truth but not detected);"291:   n = weights.shape[0]
292:   if scale_columns:
293:     weights = scale(weights, with_mean=False, axis=0)
294:   macro_scores = dict(zip(training_ratios, [0.0] * len(training_ratios)))
295:   micro_scores = dict(zip(training_ratios, [0.0] * len(training_ratios)))
296:   for r in training_ratios:
297:     macros = 0.0
298:     micros = 0.0
299:     for _ in range(num_fits):
300:       training_sample = numpy.random.choice(list(range(n)), int(n * r))
301:       multi_linsvm = OneVsRestClassifier(LinearSVC(max_iter=max_iter))
302:       multi_linsvm.fit(weights[training_sample], labels[training_sample])
303:       macros += f1_score(
304:           labels, multi_linsvm.predict(weights), average='macro') / num_fits
305:       micros += f1_score(
306:           labels, multi_linsvm.predict(weights), average='micro') / num_fits
307:     macro_scores[r] = macros"
R10;False_Negative;False_Negative;./files/EvalID_46/polblogs_experiment.py;453;Missed detection (in ground truth but not detected);"445:   }
446:   gamma_range = numpy.logspace(-6, 1, 6)
447:   C_range = numpy.logspace(C_log_lims[0], 1, C_log_lims[1])
448:   gamma_range = numpy.logspace(gamma_log_lims[0], 1, gamma_log_lims[1])
449:   lin_pipe = Pipeline([('scale', StandardScaler()), ('clf', LinearSVC())])
450:   lin_param_grid = dict(clf__C=C_range)
451:   rbf_pipe = Pipeline([('scale', StandardScaler()), ('clf', SVC())])
452:   rbf_param_grid = dict(clf__C=C_range, clf__gamma=gamma_range)
453:   for j, r in enumerate(training_ratios):
454:     print('--training ratio %0.3f' % r)
455:     # Choose training set
456:     numpy.random.seed(random_state + j)
457:     train_set = numpy.random.randint(low=0, high=n, size=int(r * n))
458:     train_set_set = set(train_set)
459:     X_train = X[train_set]
460:     y_train = y[train_set]
461:     X_test = numpy.array([v for i, v in enumerate(X) if i not in train_set_set])"
R10;False_Negative;False_Negative;./files/EvalID_45/backbone_utils.py;472;Missed detection (in ground truth but not detected);"464:                           mobilenet_backbones, efficientnet_backbones,
465:                           efficientnet_v2_backbones])
466:         raise ValueError('Invalid value for `backbone`. Must be one of: %s' %
467:                          ', '.join(backbones))
468: 
469:     if frames_per_batch > 1:
470: 
471:         time_distributed_outputs = []
472:         for i, out in enumerate(layer_outputs):
473:             td_name = f'td_{i}'
474:             model_name = f'model_{i}'
475:             time_distributed_outputs.append(
476:                 TimeDistributed(Model(model.input, out, name=model_name),
477:                                 name=td_name)(input_tensor))
478: 
479:         if time_distributed_outputs:
480:             layer_outputs = time_distributed_outputs"
R10;False_Negative;False_Negative;./files/EvalID_44/codebook.py;76;Missed detection (in ground truth but not detected);"68:     km_models: list of KMeans fitted models
69:   """"""
70:   assert len(activation_indexes) > 0
71:   assert 0.0 < sample_size <= 1.0
72:   km_models = [KMeans(2**bits)] * len(activation_indexes)
73:   cb_tables = [[]] * len(activation_indexes)
74:   models = []
75:   x = x_in = model.layers[0].output
76:   for i in range(1, len(model.layers)):
77:     layer = model.layers[i]
78:     x = layer(x)
79:     if i in activation_indexes or i == len(model.layers) - 1:
80:       print(""\nCreating submodel..."")
81:       models.append(Model([x_in], [x]))
82:       x = x_in = Input(layer.output[0].shape,
83:                        batch_size=layer.output.shape[0],
84:                        dtype=layer.output.dtype)"
R10;False_Negative;False_Negative;./files/EvalID_44/codebook.py;139;Missed detection (in ground truth but not detected);"131:     codebook_table: array of codebook values
132:   """"""
133:   assert bits <= 8
134:   n = 2**bits
135:   index_table = []
136:   codebook_table = np.zeros((weights.shape[axis], n))
137:   km_models = [None] * weights.shape[axis]
138: 
139:   for i, w in tqdm(enumerate(np.split(weights, weights.shape[axis], axis))):
140:     original_shape = w.shape
141:     w = w.ravel()
142:     km = KMeans(n)
143:     km.fit(w.reshape(-1, 1))
144:     if quantizer:
145:       km.cluster_centers_ = quantizer(km.cluster_centers_).numpy()
146:     km.cluster_centers_.sort(axis=0)
147:"
R10;False_Negative;False_Negative;./files/EvalID_44/codebook.py;187;Missed detection (in ground truth but not detected);"179:   codebook_table = np.zeros((n, n))
180: 
181:   km1 = KMeans(n)
182:   km1.fit(embeddings)
183:   tier1 = km1.predict(embeddings)
184: 
185:   km_models = [0] * n
186:   block_sizes = [0] * n
187:   for block_label in tqdm(range(n)):
188:     mask = block_label == tier1
189:     indices = np.arange(embeddings.shape[0])[mask]
190:     block = embeddings[mask]
191:     km2 = KMeans(n)
192:     km2.fit(block.flatten().reshape(-1, 1))
193:     if quantizer:
194:       km2.cluster_centers_ = quantizer(km2.cluster_centers_).numpy()
195:     km2.cluster_centers_.sort(axis=0)"
