,R4,R6,R12,R2,R17,R11bis,R22,R14,R21,R7,R20,R1,R10,R5,R9,R8,R13,R19,R11,R3,R15,R16,R18
R6,1405,0,34,2544,206,387,11,28,75,0,4,2,128,300,367,85,0,1,1,2,0,1,0
R11bis,88,387,253,878,57,0,295,60,156,7,14,6,111,505,20,3,12,6,39,5,0,0,4
R2,493,2544,332,0,246,878,103,52,135,48,9,101,103,487,249,46,6,3,26,32,0,0,2
R9,88,367,16,249,23,20,0,1,2,0,0,0,14,41,0,49,0,0,0,0,0,0,0
R8,24,85,9,46,5,3,0,0,2,0,1,3,0,8,49,0,0,0,0,0,0,0,0
R5,113,300,40,487,29,505,84,12,37,4,4,13,130,0,41,8,2,1,12,9,0,0,2
R21,26,75,14,135,65,156,16,155,0,0,60,0,1,37,2,2,15,2,16,0,2,6,2
R14,3,28,11,52,9,60,6,0,155,0,24,0,1,12,1,0,8,0,3,0,0,5,4
R13,2,0,2,6,5,12,0,8,15,0,6,0,0,2,0,0,0,0,0,0,0,1,0
R12,23,34,0,332,107,253,41,11,14,3,5,2,5,40,16,9,2,2,5,3,0,0,4
R17,81,206,107,246,0,57,8,9,65,7,19,10,8,29,23,5,5,0,1,5,1,2,1
R3,11,2,3,32,5,5,2,0,0,7,0,66,6,9,0,0,0,0,0,0,0,0,0
R22,4,11,41,103,8,295,0,6,16,0,1,0,3,84,0,0,0,0,7,2,0,0,0
R10,10,128,5,103,8,111,3,1,1,2,0,2,0,130,14,0,0,0,0,6,0,0,0
R1,9,2,2,101,10,6,0,0,0,41,0,0,2,13,0,3,0,0,0,66,0,0,0
R7,4,0,3,48,7,7,0,0,0,0,0,41,2,4,0,0,0,0,1,7,0,0,0
R11,5,1,5,26,1,39,7,3,16,1,0,0,0,12,0,0,0,1,0,0,0,0,1
R4,0,1405,23,493,81,88,4,3,26,4,0,9,10,113,88,24,2,0,5,11,0,0,0
R19,0,1,2,3,0,6,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
R20,0,4,5,9,19,14,1,24,60,0,0,0,0,4,0,1,6,0,0,0,1,1,2
R16,0,1,0,0,2,0,0,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
R18,0,0,4,2,1,4,0,4,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0
R15,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
