,Occurrences,Projects,Files,Median/Project
R5,3850,267,1491,2.0
R4,4664,289,2128,3.0
R6,10410,279,10410,9.0
R2,32472,654,9209,4.0
R12,5336,262,1532,2.0
R17,5335,348,1639,2.0
R21,1950,217,1015,2.0
R11bis,16255,371,4460,4.0
R22,1082,106,340,1.0
R20,257,66,101,1.0
R7,336,61,185,2.0
R14,696,118,261,1.0
R1,1142,90,451,2.0
R10,338,72,338,2.0
R18,53,21,25,1.0
R9,1561,118,777,2.0
R8,403,64,184,2.0
R3,297,58,184,2.0
R13,66,27,46,1.0
R15,6,4,4,1.0
R19,17,12,17,1.0
R11,182,26,58,1.0
R16,20,15,17,1.0
messages,481,1,128,128.0
