repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
MLAlgorithms,rushter,10730,1783,11,Minimal and clean examples of machine learning algorithms implementations,2016-10-05 06:46:45+00:00,2024-12-19 06:30:53+00:00,Python,scikit-learn,False,,,11924;
heamy,rushter,551,114,8,A set of useful tools for competitive data science.,2016-05-12 12:42:10+00:00,2024-11-08 09:55:12+00:00,Python,scikit-learn,True,,,92;
lxmls-toolkit,LxMLS,223,215,15,Machine Learning applied to Natural Language Processing Toolkit used in the Lisbon Machine Learning Summer School,2011-12-06 17:19:17+00:00,2024-12-18 14:09:49+00:00,Python,torch,True,,,28026;
gensim,piskvorky,15643,4374,410,Topic Modelling for Humans,2011-02-10 07:43:04+00:00,2024-12-20 13:26:48+00:00,Python,,False,,,106237;
two-stream-pytorch,bryanyzhu,568,150,11,PyTorch implementation of  two-stream networks for video action recognition,2017-05-25 23:56:03+00:00,2024-12-09 12:21:12+00:00,Python,,False,,,45729;
elfi,elfi-dev,266,60,14,ELFI - Engine for Likelihood-Free Inference,2016-10-03 09:03:38+00:00,2024-12-04 17:12:47+00:00,Python,scikit-learn,True,,,2253;
"TextBlob,sloria,9133,1150,112,""Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation, and more."",2013-06-30 18:29:18+00:00,2024-12-20 08:47:35+00:00,Python,,True,,,7973";
clust,BaselAbujamous,163,36,21,Automatic and optimised consensus clustering of one or more heterogeneous datasets,2017-03-07 13:58:28+00:00,2024-10-09 06:11:57+00:00,Python,,False,,,6771;
GoPiGo3,DexterInd,98,85,14,The GoPiGo3 is a Raspberry Pi Robot!,2017-04-11 19:08:55+00:00,2024-12-12 18:57:52+00:00,Python,,False,,,58284;
PyKrige,GeoStat-Framework,762,189,36,Kriging Toolkit for Python,2014-10-01 20:19:24+00:00,2024-12-08 21:56:54+00:00,Python,,True,,,1364;
"image-segmentation-keras,divamgupta,2913,1161,164,""Implementation of Segnet, FCN, UNet , PSPNet and other models in Keras."",2017-03-20 20:48:54+00:00,2024-12-15 12:06:44+00:00,Python,""tensorflow,keras"",True,,,4723";
GEKKO,BYU-PRISM,602,105,32,GEKKO Python for Machine Learning and Dynamic Optimization,2018-01-06 21:26:01+00:00,2024-12-19 09:12:19+00:00,Python,,False,,,74883;
"ad_examples,shubhomoydas,844,185,2,""A collection of anomaly detection methods (iid/point-based, graph and time series) including active learning for anomaly detection/discovery, bayesian rule-mining, description for diversity/explanation/interpretability. Analysis of incorporating label feedback with ensemble and tree-based detectors. Includes adversarial attacks with Graph Convolutional Network."",2017-11-03 16:30:18+00:00,2024-12-12 15:45:21+00:00,Python,""tensorflow,scikit-learn"",True,,,131520";
hls4ml,fastmachinelearning,1260,408,180,Machine learning on FPGAs using HLS,2017-10-25 21:43:56+00:00,2024-12-20 10:38:35+00:00,C++,,True,,,268956;
3D-ResNets-PyTorch,kenshohara,3893,931,156,3D ResNets for Action Recognition (CVPR 2018),2017-09-14 12:14:44+00:00,2024-12-18 13:09:14+00:00,Python,,False,,,336;
"trixi,MIC-DKFZ,219,19,2,""Manage your machine learning experiments with trixi - modular, reproducible, high fashion. An experiment infrastructure optimized for PyTorch, but flexible enough to work for your framework and your tastes."",2018-05-25 07:59:59+00:00,2024-12-04 09:33:43+00:00,Python,,True,,,16281";
mordecai,openeventdata,742,97,28,Full text geoparsing as a Python library,2016-06-23 19:49:45+00:00,2024-12-17 17:41:26+00:00,Python,tensorflow,False,,,2755;
BerryNet,DT42,1602,230,22,Deep learning gateway on Raspberry Pi and other edge devices,2017-04-27 16:49:40+00:00,2024-11-22 19:58:14+00:00,Python,,True,,,985;
Emotion-detection,atulapra,1171,476,14,Real-time Facial Emotion Detection using deep learning,2017-08-06 06:28:56+00:00,2024-12-17 01:23:25+00:00,Python,tensorflow,False,,,16467;
Deep-Learning-Papers-Reading-Roadmap,floodsung,38244,7315,89,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,2016-10-14 11:49:48+00:00,2024-12-20 15:33:08+00:00,Python,,False,,,3638;
EmoPy,thoughtworksarts,927,264,17,A deep neural net toolkit for emotion analysis via Facial Expression Recognition (FER),2017-12-20 02:19:22+00:00,2024-12-16 08:41:10+00:00,Python,,False,,,157446;
Image-to-Image-Search,sethuiyer,320,50,6,A reverse image search engine powered by elastic search and tensorflow,2017-03-22 21:37:02+00:00,2024-12-16 01:35:48+00:00,Python,tensorflow,False,,,2080;
